event_url,partner_name,total_partner_amount,prize_title,prize_amount,description,prize_breakdown
https://ethglobal.com/events/bangkok,Bitkub,20000,Best dApp on Bitkub Chain,10000,N/A,"1st place: $5,000 | 2nd place: $3,000 | 3rd place: $2,000"
https://ethglobal.com/events/bangkok,Bitkub,20000,Best KUB Coin Utilization,10000,N/A,"1st place: $5,000 | 2nd place: $3,000 | 3rd place: $2,000"
https://ethglobal.com/events/bangkok,Coinbase Developer Platform,20000,Most Innovative Use of CDP SDK,7500,N/A,"1st place: $5,000 | 2nd place: $1,500 | 3rd place: $1,000"
https://ethglobal.com/events/bangkok,Coinbase Developer Platform,20000,Checkout component pool prize,500,N/A,N/A
https://ethglobal.com/events/bangkok,Coinbase Developer Platform,20000,OnchainKit Pool Prize,1000,N/A,N/A
https://ethglobal.com/events/bangkok,Coinbase Developer Platform,20000,CDP SDK Pool Prize,2500,N/A,N/A
https://ethglobal.com/events/bangkok,Coinbase Developer Platform,20000,Best Combination of CDP SDK and OCK,500,N/A,N/A
https://ethglobal.com/events/bangkok,Coinbase Developer Platform,20000,CDP x HYBE Creator Economy Prize,3000,N/A,"1st place: $2,000 | 2nd place: $1,000 | 3rd place: $1,000"
https://ethglobal.com/events/bangkok,Coinbase Developer Platform,20000,Best Developer Feedback,500,N/A,N/A
https://ethglobal.com/events/bangkok,Coinbase Developer Platform,20000,Crypto x AI Award,4500,N/A,N/A
https://ethglobal.com/events/bangkok,Protocol Labs,20000,Filecoin Foundation: Storage & Retrieval,10500,N/A,"1st place: $4,000 | 2nd place: $2,500 | 3rd place: $2,000 | 4th place: $1,000 x 2"
https://ethglobal.com/events/bangkok,Protocol Labs,20000,Storacha,4500,N/A,"Storacha: $1,250 x 4"
https://ethglobal.com/events/bangkok,Protocol Labs,20000,Store your hackathon project data using Akave,2500,N/A,N/A
https://ethglobal.com/events/bangkok,Protocol Labs,20000,Swan Chain AI Agent Payment,2500,N/A,N/A
https://ethglobal.com/events/bangkok,Protocol Labs,20000,Protocol Labs,1500,N/A,N/A
https://ethglobal.com/events/bangkok,Kinto,20000,Best Kinto App,7500,N/A,N/A
https://ethglobal.com/events/bangkok,Kinto,20000,Kinto Smart Contract APIs,5000,N/A,"1st place: $3,500 | 2nd place: $1,500"
https://ethglobal.com/events/bangkok,Kinto,20000,Kinto Wallet SDK,5000,N/A,"1st place: $3,500 | 2nd place: $1,500"
https://ethglobal.com/events/bangkok,Kinto,20000,Best Venn Integration,500,N/A,N/A
https://ethglobal.com/events/bangkok,Kinto,20000,Best UI/UX,1000,N/A,N/A
https://ethglobal.com/events/bangkok,Kinto,20000,Best Student Project,1000,N/A,N/A
